IGN,Cernium,Hotel Arcus,Odium,Shangri-La,Arteria,Carcion
My2ndRen,7,6,6,5
My2ndDarkKn,6,4,4
My2ndAngelic,3
My2ndErel,5,5
My2ndBishop,3
My2ndHero,1
My2ndRanger,1
My2ndShade,2
My2ndSia,1,,,,,
My2ndSniper,2
thanhbinh5,3
My2ndKhali,
My2ndMikhail,
My2ndMoXuan,
My2ndPF,
My2ndPaladin,
My2ndWA,
My3rdKaiser,
M2AMercedes,
My2ndLumin,
My3rdPhantom,
thanhbinh6,
My2ndAdele,
My2ndArk,
My2ndBT,
My2ndBW,
My2ndBlaster,
My2ndBucc,
My2ndCorsair,
My2ndDA,
My2ndDBlader,
My2ndDS,
My2ndDW,
My2ndFPMage,
My2ndHayato,
My2ndHoyoung,
My2ndILMage,
My2ndIllium,
My2ndKain,
My2ndKanna,
My2ndKine,
My2ndLara,
My2ndMech,
My2ndNL,
My2ndNW,
My2ndShadow,
My2ndStriker,
My2ndXenon,
My2ndZero,
My3rdCadena,
My3rdCannon,
Wild01Hunter,
thanhbinh15,
